顧客ID,性別,高齢者,既婚者,音声通話,インターネット,契約期間,支払方法,国際通話,通話分数_昼,通話回数_昼,通話分数_夕,通話回数_夕,通話分数_夜,通話回数_夜,サービスコール,月間支払額,解約
5168-MSWXT,M,0,1,1,2,0,1,0,19.84,9.25,8.04,17.38,24.81,12.88,0.12,94.95,0
5171-EPLKN,M,0,0,1,0,2,3,0,5.93,3.85,5.14,2.59,11.57,3.59,0,17.41,0
5172-MIGPM,M,0,0,1,1,0,0,1,54.67,27.75,38.9,33.25,69.35,15.5,0.25,59.3,0
5173-WXOQV,M,0,1,1,1,0,0,0,99.15,65,108.55,43,94.2,48,0,71.85,0
5173-ZXXXL,M,0,0,1,0,1,0,1,71.85,58.5,136.5,41,89.15,40.5,0,23.85,0
5174-ITUMV,M,0,1,1,2,1,1,0,2.59,1.75,3.04,1.7,2.61,1.4,0.03,104.32,0
5175-WLYXL,M,0,0,1,2,0,0,0,6.02,3.68,9.1,5,9.2,4.68,0.09,72.74,0
5176-LDKUH,F,0,0,1,2,1,1,0,3.66,1.71,5.39,2.83,5.59,3.21,0.02,78.6,0
5176-LMJXE,F,0,0,1,0,2,0,0,2.9,2.06,3.66,2.3,2.93,2.15,0,20.12,0
5177-RVZNU,F,0,0,1,0,1,2,0,3.76,1.95,6.65,3.03,5.6,3.27,0.14,20.42,0
5181-OABFK,F,0,1,1,1,2,3,0,2.68,1.8,4.57,2,2.44,1.11,0.04,59.76,0
5183-SNMJQ,M,0,0,1,2,0,3,0,13.83,8.9,17.05,7.8,26.39,9.8,0.3,86.51,0
5186-EJEGL,M,0,0,1,1,0,0,0,15.49,10.67,15.93,12,25.02,11.89,0.22,72.59,0
5186-PEIZU,F,0,0,1,0,0,2,0,5.09,3.11,4.19,2.46,3.93,2.23,0.03,17.65,0
5186-SAMNZ,M,1,0,1,2,0,2,1,145,103,294.3,93,239.8,120,4,69.5,1
5195-KPUNQ,F,1,0,1,2,1,0,0,0.15,1.62,3.23,1.89,3.52,1.51,0.04,98.24,0
5196-WPYOW,M,0,1,1,1,1,0,0,1.94,1.57,4.15,0.9,4.56,1.1,0.03,59.61,0
5198-EFNBM,M,1,1,1,2,1,1,0,3.53,1.77,2.52,1.56,2.64,2.23,0.02,91.22,0
5198-HQAEN,M,0,1,1,2,1,1,0,6.99,2.31,4.8,3.34,8.04,2.49,0.03,90.45,0
5201-FRKKS,M,0,0,1,2,0,2,0,6.27,3.72,8.63,2.72,8.93,3.08,0.04,78.09,0
5201-USSQZ,F,0,1,1,2,0,3,0,3.91,4.04,7.8,3.81,5.24,4.58,0.12,84.48,0
5203-XEHAX,F,0,0,1,1,1,1,0,6.09,2.32,7.72,3.44,4.39,2.03,0,60.39,0
5204-HMGYF,F,0,1,1,1,1,0,1,4.03,2.57,5.03,2.29,5.82,2.12,0.04,88.67,0
5206-HPJKM,M,0,0,1,1,0,3,0,12.19,5.59,8.08,7.06,6.81,4.35,0.06,54.95,0
5206-XZZQI,M,0,0,1,2,0,0,0,3.46,1.94,3.95,2.09,3.25,2.06,0.02,82.04,0
5207-PLSTK,M,0,1,1,1,0,0,0,300.4,94,133.2,103,197.4,94,2,48.8,0
5208-FVQKB,M,0,1,1,1,2,0,0,3.16,1.9,2.29,2,2.31,1.2,0.06,66.63,0
5208-HFSBT,F,0,0,1,1,0,3,1,56.3,57,130.85,66,61.75,58,0,51.4,1
5213-TWWJU,M,0,0,1,2,0,1,0,6.69,4.54,6.99,3.14,6.49,4.61,0.04,93.79,0
5214-CHIWJ,M,0,0,1,0,1,0,0,4.77,3.19,7.55,3.89,10.47,4.85,0.07,22.04,0
5222-IMUKT,M,0,0,1,2,0,1,0,5.41,3.34,7.72,3.16,4.96,3.25,0.03,89.73,0
5222-JCXZT,M,0,0,1,0,0,0,0,49.08,27,34.2,24,38.67,21.75,0.5,19.73,0
5223-UZAVK,M,0,0,1,2,1,3,0,0.86,1.59,2.57,1.94,3.14,1.69,0.02,103.18,0
5226-NOZFC,M,0,0,1,2,0,1,0,7.47,4.69,9.31,3.12,8.3,3.08,0.08,82.56,0
5229-DTFYB,F,0,0,1,2,2,2,0,4.48,2.85,6.26,1.76,4.36,1.93,0.02,96.57,0
5231-FIQPA,F,0,0,1,0,2,0,0,4.69,2.71,3.83,2.12,4.29,2,0,19.77,0
5232-NXPAY,F,0,0,1,1,2,0,0,4.34,2.13,6.23,2.96,5.2,2.23,0,74.69,0
5233-AOZUF,F,0,1,1,2,0,1,0,4.55,3.45,5.98,4.17,7.02,3.72,0.03,74.11,0
5236-XMZJY,F,0,0,1,1,0,2,0,3.3,2.62,3.65,2.05,5.13,2.45,0.02,60.4,0
5240-CAOYT,F,0,0,1,2,0,2,0,2.81,2.11,5.02,1.82,3.2,1.49,0.05,85.7,0
5242-UOWHD,M,0,1,1,0,2,0,0,1.83,2.11,3.63,2.42,5.89,2.31,0,20.65,0
5248-YGIJN,M,0,1,1,1,2,3,0,2.71,1.39,2.07,1.32,3.12,1.62,0,88.47,0
5249-QYHEX,F,0,1,1,0,2,0,1,4.04,3.02,4.82,3.42,4.21,2.4,0,25.62,0
5260-UMPWX,F,0,1,1,0,0,3,0,6.4,3.54,9.17,2.85,5.8,3.23,0.15,19,0
5266-PFRQK,M,0,1,1,0,1,3,0,3.55,2.67,3.52,1.5,2.45,2.04,0,20.61,0
5269-NRGDP,M,0,1,1,1,1,1,0,3.66,2.19,4.89,2.1,2.73,2.12,0.02,73.53,0
5271-DBYSJ,M,1,0,1,2,0,3,0,11.34,9.55,22.76,7.09,19.67,11.64,0.09,75.25,0
5275-SQEIZ,M,0,0,1,2,0,0,1,172.1,119,223.6,133,150,94,1,80.9,1
5278-PNYOX,F,0,0,1,2,2,3,0,3.99,2.43,2.17,1.94,3.21,1.92,0.04,100.36,0
5285-MVEHD,F,0,1,1,2,1,3,1,2.67,2.18,3.77,1.34,2.04,1.61,0.02,108.37,0
5288-AHOUP,M,1,0,1,2,0,1,0,19.8,8.45,19.52,8.64,20.79,6.36,0,79.47,0
5294-DMSFH,F,0,1,1,2,0,3,1,6.92,4.03,9.98,4.14,3.39,3.28,0.07,90.41,0
5296-BFCYD,M,0,1,1,0,2,0,0,6.01,2.15,4.78,2.46,3.87,2.07,0.04,20.37,0
5297-MDOIR,F,0,1,1,2,1,3,1,2.6,1.57,2.43,1.62,1.97,1.65,0,82.93,0
5306-BVTKJ,M,0,1,1,1,1,3,0,3.63,2.33,5.54,2.54,3.8,1.81,0.08,55.23,0
5309-TAIKL,F,0,0,1,1,0,2,0,32.8,11.71,19.73,14.71,35.83,15.57,0.14,59.76,0
5310-NOOVA,M,0,0,1,0,2,1,0,3.78,1.85,5.24,2.48,4.52,2.04,0.02,19.72,0
5312-TSZVC,F,0,0,1,0,1,0,0,13.69,6.33,11.11,8.53,16.04,5.6,0.07,18.04,0
5313-FPXWG,M,0,0,1,0,1,2,0,4.55,1.59,4.13,1.98,3.24,1.71,0.1,24.83,0
5318-IXUZF,F,0,0,1,2,0,2,0,146.85,44.5,136.25,35.5,89.1,38,1,91.9,1
5318-YKDPV,M,0,1,1,1,2,3,0,3.93,1.63,6.31,1.79,3.96,2.42,0,82.94,0
5324-KTGCG,M,0,1,1,0,1,1,0,2.88,0.92,3.48,1.73,3.02,1.32,0.01,21.69,0
5338-YHWYT,M,0,0,1,1,2,3,0,4.85,2.51,5.1,1.76,6.84,2.38,0.03,62.23,0
5345-BMKWB,M,0,1,1,0,0,0,1,22.59,15.88,21.82,11.75,20.66,14.25,0.25,19.8,0
5346-BZCHP,F,0,1,1,0,2,0,1,1.84,1.35,2.36,1.51,3.59,1.58,0,19.51,0
5348-CAGXB,M,0,0,1,2,0,1,0,10.82,10.08,19.18,8.75,11.71,10.25,0,85.15,0
5353-WILCI,F,0,0,1,1,0,1,0,9.36,4.39,5.9,2.93,6.94,2.04,0,54.38,0
5365-LLFYV,F,0,0,1,1,0,0,0,83.9,60.5,106.45,61.5,104.1,36.5,2.5,52.8,0
5366-OBVMR,F,0,1,1,1,0,0,0,10.54,6.11,6.42,4.61,10.63,5.72,0,50.49,0
5372-FBKBN,F,0,0,1,0,0,0,0,8.83,4.14,8.5,6.1,10.4,5.1,0.19,21.53,0
5380-XPJNZ,F,0,0,1,0,1,0,1,0.33,1.76,6.75,2.37,4.46,2.32,0.03,17.85,0
5382-TEMLV,M,0,0,1,1,0,2,0,1.52,1.91,4.3,2.44,3.81,3.09,0,51.08,0
5384-ZTTWP,F,0,1,1,0,0,0,0,12.36,7,13.17,8.4,9.81,7.33,0.13,18.2,0
5392-AKEMH,F,0,0,1,1,0,1,0,17.43,11.17,0,0,14.62,7.83,0.08,43.59,0
5393-HJZSM,F,0,1,1,1,0,2,0,6.31,2.53,7.03,3.56,6.39,2.56,0.03,75.13,0
5394-MEITZ,F,0,1,1,1,2,2,0,2.49,1.88,4.04,2.03,2.9,1.73,0.03,82.44,0
5396-IZEPB,M,0,0,1,0,0,3,0,13.61,16.11,30.37,11.44,21.98,7.89,0.22,20.08,0
5397-TUPSH,M,1,1,1,2,1,2,1,3.14,1.26,2.9,1.77,2.14,1.49,0.02,70.08,0
5399-ZIMKF,M,0,0,1,2,0,1,0,30.86,21.4,36.6,22.2,10.8,26.8,0,76.74,0
5404-GGUKR,M,0,0,1,1,0,1,0,26.96,19.2,33.44,15.6,32.3,24.6,0.4,52.46,0
5419-CONWX,F,1,0,1,2,0,3,0,61.42,34.75,60.48,28.25,71.33,29.25,1,110.72,1
5419-KLXBN,F,0,1,1,2,0,2,0,11.82,5.04,9.28,4.68,8.18,4.92,0.04,90.31,1
5424-RLQLC,M,0,0,1,1,0,0,0,15.18,10.6,13.8,12.6,23.35,11.2,0.3,63.9,0
5433-KYGHE,F,0,0,1,2,0,0,0,12.9,4.64,20.03,7.07,20.89,7.5,0.07,83.15,0
5438-QMDDL,F,0,1,1,1,0,0,0,10.17,5.58,8.89,7.89,11.85,6.42,0,59.52,0
5439-WIKXB,M,1,1,1,2,0,1,0,4.45,2.02,3.77,2.71,4.78,1.39,0,93.94,0
5442-BHQNG,F,0,0,1,2,0,1,0,90.9,58.5,79.05,45.5,133.1,61.5,0,69.65,0
5442-PPTJY,M,0,1,1,0,2,0,0,15.97,10.17,20.12,7.33,16.96,7.17,0.08,21.53,0
5442-XSDCW,M,0,1,1,2,0,2,0,14,12.09,18.08,11,13.81,9.09,0.36,78.95,1
5445-GLVOT,F,0,0,1,1,0,1,0,9.11,4.73,12.4,4.05,9.75,4.55,0.05,47.69,0
5445-UTODQ,F,0,1,1,2,0,1,0,34.14,22.29,39,15.14,39.74,13.29,0.14,82.39,1
5447-VYTKW,M,0,0,1,1,0,0,0,6.5,4.44,3.64,2.63,7.48,3.44,0,54.13,0
5447-WZAFP,F,0,0,1,2,1,0,0,3.29,2.26,2.95,1.85,2.58,2.28,0,98.13,0
5453-YBTWV,M,0,1,1,2,2,3,0,1.81,1.53,4.62,1.07,2.06,1.81,0.01,99.93,0
5457-COLHT,M,0,1,1,1,2,2,0,2.94,1.52,3.26,1.3,3.68,1.57,0,80.33,0
5465-BUBFA,F,0,1,1,0,2,2,0,3.79,2.46,5.2,2.17,5.8,1.49,0.02,18.84,0
5468-BPMMO,M,0,1,1,0,0,1,0,2.25,2.24,3.01,1.72,3.58,2.13,0.04,18.5,0
5469-NUJUR,M,0,0,1,0,2,0,0,8.39,4.05,15.99,4.84,11.94,6.32,0,19.66,0
5474-LAMUQ,M,0,1,1,0,1,0,0,5.94,3.42,9.64,4.58,5.47,2.79,0.08,22.25,0
5480-XTFFL,F,0,1,1,0,2,0,0,2.83,3.32,7.19,2.77,5.88,3.61,0.06,22.51,0
5482-VXSXJ,M,0,0,1,2,0,0,0,9.37,3.45,10.56,3.45,11.44,4.36,0.05,98.06,0
5485-ITNPC,M,0,1,1,1,2,2,0,3.28,1.18,1.55,1.68,2.64,1.26,0,84.78,0
5494-HECPR,F,0,0,1,2,0,1,0,162.1,83,171.8,117,259.8,76,4,80.3,1
5494-WOZRZ,F,0,1,1,1,2,3,1,1.97,1.61,1.95,1.28,3.11,1.24,0,84.51,0
5495-GPSRW,M,0,0,1,0,2,0,0,10.96,4.6,7.47,6.25,12.23,5.2,0,20.97,0
5498-IBWPI,F,0,1,1,1,1,3,0,2.66,1.97,3.76,1.59,1.85,1.29,0,49.27,0
5499-ECUTN,F,0,1,1,1,1,3,0,3.27,1.89,4.98,1.89,4.18,1.64,0.09,64.29,0
5501-TVMGM,M,0,0,1,1,0,1,0,172,145,276.4,101,193.7,100,1,55.3,0
5505-OVWQW,F,0,0,1,0,1,0,1,13.95,4.47,15.54,7.35,15.96,7.06,0.06,20.81,0
5512-IDZEI,M,0,1,1,0,1,1,0,4.2,2.74,3.36,1.85,3.8,2.13,0.07,25.54,0
5514-YQENT,M,0,0,1,2,2,1,0,3.88,1.95,4.1,3.12,4.09,2.46,0.02,109.93,0
5515-RUGKN,M,0,0,1,1,0,3,0,27.71,11.88,24.12,10.25,24.26,14.12,0.38,54.76,0
5519-TEEUH,M,0,0,1,0,1,0,1,6.82,2.36,5.8,2.39,6.87,2.39,0.03,20.67,0
5522-JBWMO,M,0,0,1,1,0,1,0,202,102,243.2,128,261.3,90,1,44,0
5522-NYKPB,M,0,1,1,2,0,1,0,9.42,3.24,10.29,5.2,4.12,4.44,0.08,87.96,0
5524-KHNJP,M,0,1,1,1,1,3,0,5.43,3.15,6.85,2.61,9.79,2.36,0,74.34,0
5527-ACHSO,F,0,0,1,1,0,0,0,9.92,8.82,10.52,8.73,26.89,7.64,0,75.39,0
5529-GIBVH,F,0,0,1,0,2,0,0,4.63,1.57,4.55,1.83,4.83,2.21,0,22.26,0
5537-UXXVS,F,0,1,1,0,0,2,0,9.95,4.35,10.35,4.5,7.99,3.8,0.15,18.77,0
5539-TMZLF,M,1,0,1,2,0,1,0,267.1,104,180.4,131,230.6,106,1,69.8,1
5542-DHSXL,F,0,1,1,1,0,0,0,32.5,27.5,46.33,22,44.67,26.25,0,58.77,0
5542-NKVRU,F,0,0,1,0,2,2,0,2.85,2.48,6.64,2.1,6.27,4.17,0.05,20.11,0
5542-TBBWB,M,0,0,1,2,0,1,0,176.6,65,172.7,96,104.5,128,2,69.9,0
5543-QDCRY,M,0,0,1,1,0,1,0,31.1,20.75,44.92,20.25,63.25,24.75,0,58.73,0
5546-BYZSM,F,0,0,1,0,0,1,0,6.18,2.54,2.88,3,6.06,2.54,0,18.92,0
5546-QUERU,M,0,0,1,0,1,0,0,11.24,7.54,21.34,8,10.59,7.69,0.08,19.77,0
5552-ZNFSJ,M,0,0,1,1,0,1,0,229.7,129,336,104,192.8,128,1,45.3,1
5562-BETPV,M,0,1,1,0,1,0,0,151.1,123,187.4,104,255.4,93,1,19.7,0
5562-YJQGT,F,0,0,1,0,0,3,0,95.05,52.5,91.1,58,139.9,52.5,0.5,17.55,0
5564-NEMQO,F,1,0,1,2,0,2,0,234.4,103,279.3,109,234.2,121,1,75.3,1
5566-SOEZD,M,0,1,1,2,1,3,0,6.24,4.48,6.24,3.48,3.53,2.19,0.04,81.84,0
5567-GZKQY,M,0,0,1,0,2,3,0,3.87,1.62,3.89,2.07,4.64,1.81,0.03,19.51,0
5568-DMXZS,F,0,0,1,1,0,1,0,28.15,11.12,32.1,14.62,31.21,10.88,0.5,69.31,0
5574-NXZIU,M,0,0,1,2,2,3,0,3.15,1.95,4.3,1.17,3.33,2.06,0.02,111.9,0
5575-GNVDE,M,0,0,1,1,1,0,0,7.8,3.24,5.81,2.91,7.2,2.68,0.03,55.57,0
5575-TPIZQ,M,0,0,1,2,0,3,0,5.03,1.89,4.88,1.91,4.67,1.5,0.02,92.3,0
5577-OTWWW,F,0,0,1,0,0,2,0,19.86,9.4,15.87,7.13,16.03,6.2,0.07,19.82,1
5578-NKCXI,F,0,1,1,2,1,3,0,4.56,1.4,3.73,1.9,3.63,1.76,0,100.81,0
5583-SXDAG,M,0,1,1,2,0,1,0,172.7,93,120.1,116,216.1,86,5,70,1
5590-ZSKRV,F,0,1,1,1,0,0,0,28.26,13.12,25.19,13.38,30.77,12.25,0.12,60.29,0
5600-KTXFM,M,0,1,1,2,0,0,0,112.35,60.5,147,65.5,145,30.5,0,71.95,0
5600-PDUJF,M,0,0,1,1,0,3,0,23.73,17.83,53.12,13,37.35,18,0.17,52.12,0
5602-BVFMK,F,0,0,1,0,1,0,0,15.78,13.08,14.57,5.83,18.49,9.75,0.25,19.07,0
5605-IYGFG,F,0,0,1,2,0,2,0,33.16,17.43,41.76,16,28.74,16,0.43,73.64,0
5614-DNZCE,F,0,0,1,1,2,3,0,2.66,2.24,3.74,1.74,3.2,0.9,0.02,65.44,0
5616-PRTNT,M,0,0,1,0,0,1,0,5.66,4.8,9.89,4.45,14.22,4.65,0.2,18.73,1
5619-XZZKR,M,0,0,1,0,1,0,0,30.73,23.25,58.38,22.75,49.88,36,0.5,17.05,0
5624-BQSSA,F,0,0,1,0,0,0,0,209.5,108,109.6,64,189.7,145,6,21,1
5624-RYAMH,F,0,0,1,0,0,1,0,17.84,11.44,26.33,12.11,27.23,9.78,0.11,19.88,0
5627-TVBPP,F,0,0,1,0,1,3,0,5.98,3.8,6.04,3.46,8.32,3.51,0.03,18.41,0
5628-RKIFK,F,1,0,1,2,0,3,0,4.18,1.71,4.1,2.08,4.48,1.98,0,103.48,0
5630-AHZIL,F,0,0,1,1,0,2,0,39.77,39,71.7,36.33,59.57,30,0.33,59.13,0
5639-NTUPK,M,0,0,1,1,0,3,0,16.27,7.69,14.2,6.77,12.64,10.08,0.15,51.59,0
5642-MHDQT,F,0,1,1,0,1,2,0,2.85,1.7,3.68,1.49,4.51,2.15,0.02,19.61,0
5647-URDKA,M,0,1,1,0,2,0,0,14.5,10.62,18.76,15,30.85,12.25,0.12,16.29,0
5649-ANRML,M,1,0,1,2,0,3,1,99.4,57.5,83.3,33.5,99.25,59,0.5,90.15,1
5649-RXQTV,M,0,0,1,2,0,1,0,4.89,1.71,4.45,2.71,4.7,1.8,0.06,98.79,0
5651-CPDND,M,0,0,1,1,0,0,0,20.25,9.1,24.14,10.8,16.96,7.7,0.1,49.21,0
5651-CRHKQ,F,0,1,1,2,1,2,0,4.63,3.07,3.98,3.24,6.46,3.07,0.02,81.44,0
5651-WYIPH,F,1,0,1,1,0,3,1,12.32,5.39,11.32,7.44,11.99,8.56,0.06,48.1,0
5651-YLPRD,F,0,1,1,2,0,1,0,6.58,3.19,6.39,2.59,3.99,1.66,0.03,85.12,0
5656-JAMLX,M,0,0,1,0,2,2,0,2.45,1.5,2.88,1.24,3.7,1.79,0.03,20.22,0
5671-RQRLP,F,1,1,1,2,2,3,0,3.21,1.63,2.09,1.51,3.45,1.4,0.01,77.31,0
5676-CFLYY,M,0,1,1,1,2,3,0,1.22,1.89,3.47,1.3,3.54,1.28,0.01,72.6,0
5680-LQOGP,F,0,0,1,1,2,3,0,2.16,1.16,2.39,1.51,2.4,1.18,0.01,83.04,0
5684-FJVYR,F,0,1,1,2,2,2,0,2.43,1.01,2.39,1.61,1.82,1.31,0.01,91.16,0
5686-CMAWK,M,0,0,1,2,1,1,0,17.35,6.24,9.75,6.76,11.13,3.71,0.18,82.96,0
5687-DKDTV,F,0,0,1,0,0,0,1,67.1,21.25,37.65,32.75,74.47,21,0.5,19.38,1
5692-FPTAH,F,0,0,1,1,0,0,0,123.2,104,190,117,170.3,95,4,45.4,1
5693-PIPCS,M,0,0,1,2,2,3,0,3.72,1.8,6.7,2.15,6.15,2.93,0.07,102.94,0
5696-CEIQJ,M,0,1,1,2,2,2,0,2.57,1.46,2.37,1.9,2.08,1.51,0.03,102.92,0
5696-EXCYS,M,0,0,1,0,2,3,0,14.3,6.18,13.61,6.35,10.64,7.06,0.12,21.71,0
5696-JVVQY,F,0,1,1,1,2,3,0,1.28,2.15,5.31,2.29,4.71,2,0.02,67.47,0
5696-QURRL,M,0,0,1,1,0,0,0,81.7,123,210.2,108,212,64,6,45.1,1
5701-YVSVF,F,1,1,1,2,0,1,0,21.08,9.18,14.55,8.55,10.04,8.91,0.27,80.01,0
5701-ZIKJE,M,0,0,1,1,0,0,0,17.72,5,19.8,6.15,8.25,6.77,0.08,46.98,0
5702-KVQRD,M,0,1,1,1,2,1,0,3.13,1.04,2.39,1.06,3.72,1.32,0.03,82.15,0
5702-SKUOB,F,0,1,1,0,0,0,0,35.62,21.75,48.92,22,30.52,29.25,0.5,23.38,0
5707-ZMDJP,M,0,1,1,1,2,0,0,3.71,1.6,3.88,1.4,4.09,2.11,0.06,70.37,0
5712-AHQNN,F,0,0,1,2,0,1,0,4.35,3.09,3.13,1.72,5.63,2.95,0.05,91.96,0
5712-VBOXD,F,0,0,1,0,0,3,0,42.62,28.25,48.3,32.25,47,22.75,0,17.12,0
5716-EZXZN,F,0,1,1,2,2,3,0,1.82,1.37,3.07,1.49,0.82,0.94,0.02,98.72,0
5726-CVNYA,F,0,1,1,0,2,0,0,8.59,11.88,26.15,8.62,24.68,5.25,0.12,18.32,0
5730-DBDSI,M,0,0,1,0,2,2,0,1.9,1.5,3.11,1.62,3.85,1.68,0,19,0
5732-IKGQH,M,1,1,1,2,1,2,0,4.02,2.44,2.04,1.54,3.45,1.73,0,105.41,0
5736-YEJAX,M,0,0,1,1,2,3,0,3.56,1.32,1.78,1.88,3.31,1.48,0.06,79.75,0
5751-USDBL,M,0,1,1,1,2,0,0,4.8,2.28,2.59,2.76,3.59,2.46,0.09,83.62,0
5753-QQWPW,F,0,0,1,1,1,1,0,7.92,3.57,8.43,2.5,6.88,3.25,0,59.1,0
5756-JYOJT,F,0,0,1,1,1,3,0,17.47,7.82,15.33,10.55,12.71,7.91,0.09,63.39,0
5756-OZRIO,M,1,1,1,1,1,2,0,3.02,1.56,2.98,1.66,2.35,1.85,0.03,63.98,0
5760-FXFVO,M,0,0,1,2,0,1,0,29.1,17.83,51.77,19.17,39.12,15.33,0.17,82.5,0
5760-IFJOZ,M,0,0,1,2,0,0,0,53.17,48.33,67.43,33.67,85.33,32,0.67,104.53,0
5760-WRAHC,F,1,0,1,1,0,0,0,7.3,5.05,7.42,5.73,8.5,5.09,0.05,70.25,0
5766-FTRTS,M,0,1,1,1,2,0,0,2.31,1.17,2.67,1.26,2.33,1.6,0.01,83.79,0
5766-XQXMQ,F,0,0,1,1,0,2,1,6.24,2.03,7.44,4,7.46,3.66,0,67.95,1
5766-ZJYBB,M,0,0,1,0,0,0,0,278.9,110,190.2,67,255.2,84,0,19.4,1
5774-QPLTF,M,0,1,1,0,1,0,0,3.54,1.76,5.41,1.98,4.63,1.8,0.04,18.78,0
5774-XZTQC,F,0,1,1,0,0,0,0,29.44,7,32.09,16.43,36.67,10.57,0.14,21.54,0
5777-KJIRB,F,0,0,1,1,1,0,0,5.14,3.45,4.05,2.08,6.74,2.6,0.05,50.59,0
5777-ZPQNC,F,0,0,1,0,1,1,1,10.64,4.5,17.92,8.75,19.52,7,0.17,21.73,0
5778-BVOFB,F,0,0,1,1,0,2,0,33.52,9.11,18.57,13.11,8.02,9.89,0.11,58.9,0
5780-INQIK,F,0,0,1,1,0,1,1,19.26,14.25,14.84,13.25,32.3,13.12,0.25,51.04,0
5781-RFZRP,M,0,1,1,1,2,3,0,2.68,1.8,2.89,1.45,1.84,0.89,0,75.46,0
5787-KXGIY,M,0,1,1,0,2,3,0,2.97,1.57,2.5,1.58,1.87,1.14,0,18.12,0
5788-YPOEG,F,0,1,1,1,2,0,0,5.6,2.18,6.34,3.32,4.74,3.26,0.06,83.51,0
5791-KAJFD,F,0,1,1,1,1,2,0,0.53,2.2,2.31,2.09,5.82,1.88,0.04,68,0
5793-YOLJN,F,0,1,1,0,2,0,0,3.73,1.71,3.01,1.87,3.36,1.47,0.02,22.01,0
5795-BKOYE,F,0,1,1,1,1,2,0,2.44,1.26,2.34,1.33,2.79,1.62,0.04,59.92,0
5799-JRCZO,F,0,0,1,0,2,3,0,1.6,1.78,3.65,1.1,3.07,1.51,0,19.29,0
5804-JMYIO,F,0,1,1,0,2,0,0,4.32,3,5.57,3.31,2.09,2.56,0.03,19.44,0
5804-LEPIM,F,1,0,1,2,0,1,0,136.3,41.5,124.35,37,98.7,55.5,0.5,69.55,1
5808-TOTXO,F,0,0,1,0,1,3,0,48,30,45.27,30.33,70.8,43,0.33,19.13,0
5815-HGGHV,M,0,1,1,1,1,0,0,7.05,4.2,10.57,5.4,5.18,6.35,0.15,63.73,0
5816-JMLGY,F,0,1,1,1,2,2,0,2.5,1.51,2.06,1.24,2.29,1.26,0,81.68,0
5816-SCGFC,F,1,0,1,1,0,0,0,22.44,13.57,30.44,5.14,40.06,11,0.29,59.91,0
5821-MMEIL,F,0,1,1,0,2,2,0,2.94,1.75,2.71,1.58,4.94,1.88,0.04,19.57,0
5829-NVSQN,F,0,1,1,1,1,2,0,8.63,4.83,9.3,5,7.44,4.57,0.09,73.46,0
5832-EXGTT,M,0,1,1,1,0,0,0,7.96,3.21,7.69,2.69,5.44,3.48,0.1,63.25,0
5832-TRLPB,M,0,0,1,1,1,2,0,4.04,3.93,6.93,2.1,3.72,2.83,0.03,77.38,0
5837-LXSDN,F,0,1,1,1,1,3,0,7.97,5.67,11.1,6.81,5.22,5.48,0,57.88,0
5839-SUYVZ,M,0,0,1,2,0,3,0,7.44,6.31,14.38,8.38,14.81,3.62,0,73.16,0
5840-NVDCG,F,0,1,1,1,2,2,0,10.7,6.44,15.22,7.56,11.14,5.75,0.12,69.68,0
5842-POCOP,F,0,1,1,2,0,0,0,31.52,17,38.82,18.4,46.3,17.2,1,90.84,1
5843-TTHGI,F,0,0,1,1,0,0,0,8.17,4,9.21,5.67,13.51,5.94,0.06,49.59,0
5844-QVTAT,F,0,1,1,1,1,0,0,5.03,3.45,5.29,3.12,7.42,2.06,0.03,59.25,0
5845-BZZIB,M,0,1,1,0,2,0,0,6.45,2.69,5.51,3.34,6.64,2.86,0.11,18.72,0
5846-NEQVZ,M,0,1,1,1,2,3,0,2.85,1.45,1.67,1.8,3.31,1.38,0.03,70.05,0
5847-MXBEO,M,0,0,1,0,1,0,0,5.35,4.41,8.92,5.73,7.15,5.14,0.05,21.6,0
5848-FHRFC,F,0,0,1,0,2,2,0,2.2,1.47,2.94,1.62,3.41,1.49,0.03,20.4,0
5849-ASHZJ,M,0,0,1,0,1,3,0,3.47,4.7,5.56,3.85,8.93,4.3,0.04,20.48,0
5850-BDWCY,F,0,0,1,0,0,0,0,25.08,17.67,25.48,18.67,35.98,14.33,0.17,20.62,0
5857-XRECV,F,0,0,1,0,1,2,0,94.65,50,119.65,53.5,44.85,44.5,1.5,19.15,0
5858-EAFCZ,M,0,0,1,1,0,0,0,149.4,145,196.5,105,209.5,108,1,44.5,0
5859-HZYLF,M,0,1,1,0,2,3,0,5.14,2.88,7.51,3.35,10.79,3.42,0,19.84,0
5863-OOKCL,F,0,0,1,0,0,0,0,19.31,8.5,17.21,10.5,12.96,11.9,0,16.32,0
5868-YTYKS,M,0,0,1,0,0,0,0,167.6,96,176,89,250.9,113,2,20.3,0
5871-DGTXZ,M,0,0,1,0,1,0,0,8.85,3.44,7.49,3.38,4.67,2.5,0.16,18.99,0
5875-YPQFJ,M,0,0,1,2,0,1,0,257.4,67,261.1,91,204.4,107,2,69.9,1
5876-QMYLD,F,0,1,1,0,1,0,0,10.31,4.57,9.72,4.57,4.23,3.43,0.04,18.05,0
5886-VLQVU,M,0,1,1,2,0,2,0,4.85,2.2,3.95,4.43,4.07,3,0.03,90.32,0
5893-KCLGT,F,0,0,1,0,2,0,0,2.07,1.33,3.62,1.61,2.79,1.67,0.01,21.76,0
5893-PYOLZ,M,0,0,1,1,2,3,1,3.73,1.8,3.82,1.55,3.13,1.54,0.05,80.97,0
